precinct_id;new_electorate;total_votes;invalid_votes;valid_votes;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;M. Moderaterne;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;Æ. Danmarksdemokraterne - Inger Støjberg;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Andre
A18506;;;;;;;;;;;;;;;;
A18701;;;;;;;;;;;;;;;;
A18702;1452;1012;35;977;148;64;120;127;79;80;48;206;47;35;23;0
A18703;;;;;;;;;;;;;;;;
A19001;;;;;;;;;;;;;;;;
A19002;;;;;;;;;;;;;;;;
A19003;;;;;;;;;;;;;;;;
A19004;;;;;;;;;;;;;;;;
A19005;;;;;;;;;;;;;;;;
A19006;1034;657;8;649;58;58;82;110;52;69;51;74;38;41;16;0
A19007;1341;812;14;798;77;75;95;116;80;71;59;119;48;38;20;0
A20101;853;449;13;436;67;28;48;77;32;23;41;53;27;29;11;0
A20102;;;;;;;;;;;;;;;;
A20103;;;;;;;;;;;;;;;;
A20104;;;;;;;;;;;;;;;;
A20105;;;;;;;;;;;;;;;;
A21001;;;;;;;;;;;;;;;;
A21002;;;;;;;;;;;;;;;;
A21003;;;;;;;;;;;;;;;;
A21004;;;;;;;;;;;;;;;;
A21005;;;;;;;;;;;;;;;;
A21006;;;;;;;;;;;;;;;;
A21007;920;623;6;617;44;73;84;74;85;63;26;116;21;14;17;0
A21008;;;;;;;;;;;;;;;;
A21701;;;;;;;;;;;;;;;;
A21702;;;;;;;;;;;;;;;;
A21703;;;;;;;;;;;;;;;;
A21704;307;235;1;234;12;26;37;19;45;22;11;45;7;7;3;0
A21705;;;;;;;;;;;;;;;;
A21706;;;;;;;;;;;;;;;;
A21707;;;;;;;;;;;;;;;;
A21708;630;455;9;446;39;69;49;60;45;36;33;78;15;13;9;0
A21709;1154;941;23;918;107;123;76;252;53;50;45;94;30;62;26;0
A21710;1820;1165;27;1138;156;94;113;156;99;97;89;210;54;39;31;0
A21711;;;;;;;;;;;;;;;;
A21712;1587;1135;15;1120;148;119;131;213;95;79;39;162;20;70;44;0
A21901;851;689;4;685;82;100;68;132;48;74;17;87;11;45;21;0
A21902;;;;;;;;;;;;;;;;
A21903;;;;;;;;;;;;;;;;
A21904;1490;857;14;843;103;51;89;115;92;71;82;121;67;37;15;0
A21905;;;;;;;;;;;;;;;;
A21906;1077;697;16;681;87;53;79;86;78;51;63;85;46;35;18;0
A21907;1047;710;13;697;90;46;89;105;64;41;51;127;43;24;17;0
A21908;;;;;;;;;;;;;;;;
A21909;;;;;;;;;;;;;;;;
A21910;436;294;6;288;24;22;20;61;20;32;15;44;23;22;5;0
A21911;;;;;;;;;;;;;;;;
A21912;;;;;;;;;;;;;;;;
